title,id,org_type,pageLink,logo,name_fa,name_en,name_short,location,post_location,internetAddress,contact,phone,about,expertise,history,manifest,coc,estimationOfMembers,political_orientation,markForEdit,social_telegram,social_facebook,social_youtube,social_x,social_instagram,created_at,updated_at,mark_for_delete,delete_reason,deleted_at,headerBg
جامعه-ایرانی-نیوکاسل,89,ORG,/op/جامعه-ایرانی-نیوکاسل,logos/89.png,جامعه ایرانی نیوکاسل,Iranian community of Newcastle,,", Australia.","Newcastle Civic Park, King St, Newcastle NSW 2300",https://www.acnc.gov.au/charity/charities/0576bb67-3aaf-e811-a95e-000d3ad24c60/profile,mojganhabibi@hotmail.com,,"The Iranian community in Newcastle, Australia, is a vibrant and growing group actively contributing to the city's multicultural landscape. They have established several organizations, like the Australian Iranian Community of Newcastle (AICN), to foster cultural exchange, support newcomers, and celebrate their heritage.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ایران-نوین,,,/op/ایران-نوین,,ایران نوین,,,,,https://www.moderniran.org,,,,,,https://archive.is/m89ZU,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
برای-آزادی-ایران,14,ORG,/op/برای-آزادی-ایران,logos/14.png,برای آزادی ایران,,,TR,,,,,"seems to be related to the ongoing protests and movement for freedom and human rights in Iran, with a focus on the Turkish perspective or support from Turkey.                                                                                                                           The Turkish people and government have shown significant support for the Iranian protests, with many Turkish citizens participating in demonstrations and expressing solidarity online. This phrase likely reflects that sentiment and highlights the transnational nature of the movement for freedom in Iran.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-همبستگی-ملی-ایران,36,ORG,/op/گروه-همبستگی-ملی-ایران,logos/36.png,گروه همبستگی ملی ایران,National Solidarity group of Iran,,US,,https://www.woman-life-liberty.com/    https://www.instagram.com/nsgiran/?hl=en,https://www.woman-life-liberty.com/contact,,"The National Solidarity Group of Iran (NSGI) is a non-profit, non-partisan organization that advocates for human rights and democracy in Iran.","Organizing all the necessary actions, such as rallies, meetings, forums fundraising or educational events, and media interventions, to support the 'woman-life-freedom' movement.",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کانون-سیاسی--فرهنگی-ایرانیان-(-کاسل--آلمان),107,P_ORG,/op/کانون-سیاسی--فرهنگی-ایرانیان-(-کاسل--آلمان),logos/temporary.png,کانون سیاسی- فرهنگی ایرانیان ( کاسل- آلمان),Political-Cultural Center of Iranians (Kassel-Germany),,,,https://www.facebook.com/groups/1765996570355931/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمپین-فعالین-بلوچ,81,ORG,/op/کمپین-فعالین-بلوچ,logos/81.png,کمپین فعالین بلوچ,کمپین فعالین بلوچ,,UK,,https://balochcampaign.us,,,,"The Baloch Activists Campaign(BAC) is a Human Rights Organisation, that observers Human Rights violation in Sistan&Balochistan (Iran).",,,,,,,,,,https://twitter.com/balochcampaign,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
اتحاد-ایرانیان-کانادایی,51,ORG,/op/اتحاد-ایرانیان-کانادایی,logos/51.png,اتحاد ایرانیان کانادایی,Alliance of Iranian Canadians,,CA,,https://iranian-canadians.ca/,contact@iranian-canadians.ca,,The Alliance of Iranian Canadians is a group exposing the democratic illegitimacy and human rights violations of the Islamic State of Iran.,"Non-profit for a secular, democratic Iran to mutually benefit Canada, Iran & the global community.",2007,https://dadban.info/category/inlaw/,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زن--زندگی-آزادی,44,ORG,/op/زن--زندگی-آزادی,logos/44.png,زن  زندگی آزادی,Woman Life FreedomGöttingen - DEmany,,DE,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
SOLIDIRAN,56,ORG,/op/SOLIDIRAN,logos/56.png,,SOLIDIRAN,,FR,,https://www.solidiran.fr/,,,,"SolidIran, a 1901 law association, has the following goals:Make the voices for democracy in Iran heard Support and promote actions in France Show solidarity with Iranians during their stay in France Promote Persian and Iranian culture More information and content coming soon!",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
برای-مردم‌گردانی,188,پروژه,/op/برای-مردم‌گردانی,logos/temporary.png,برای مردم‌گردانی,Fordem | For Democracy,,,,fordem.org,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بنیاد-مهسا,69,ORG,/op/بنیاد-مهسا,logos/69.png,بنیاد مهسا,Mahsa Foundation,,DEN,,https://www.mahsafoundation.org/,,,,,,,,,,,https://t.me/Mahfound,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
WomanLifeFreedomCollective,167,ORG,/op/WomanLifeFreedomCollective,logos/temporary.png,,WomanLifeFreedomCollective,,"Berlin, DEmany",,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
iranian-psychologist,195,ORG,/op/iranian-psychologist,logos/temporary.png,,iranian psychologist,,US/CA,,https://www.iranianpsychologist.org/,,,online platform where Farsi Speaking Psychologists,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
همبستگی-ملی-ایرانیان-اتریش,229,P_ORG,/op/همبستگی-ملی-ایرانیان-اتریش,logos/temporary.png,همبستگی ملی ایرانیان اتریش,,,,,https://www.iraniannationalsolidarity.org/,,,,,,,,,,,,,,,https://www.instagram.com/iranian.national.solidarity/?hl=en,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-یادمان-تورنتو,113,ORG,/op/کمیته-یادمان-تورنتو,logos/temporary.png,کمیته یادمان تورنتو,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-زنان-کردستان-ایران-(سوئد),134,ORG,/op/سازمان-زنان-کردستان-ایران-(سوئد),logos/temporary.png,سازمان زنان کردستان ایران (سوئد),,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Iran-Open-Data,259,پروژه,/op/Iran-Open-Data,logos/temporary.png,,Iran Open Data,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-همبستگی-ایرانیان-نیوزلند,72,ORG,/op/گروه-همبستگی-ایرانیان-نیوزلند,logos/72.png,گروه همبستگی ایرانیان نیوزلند,Iranian Solidarity Group NZL,,NZL,,None,,,,,,,,,,,,,,https://x.com/ISG_NZ,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
شورای-حمایت-از-مبارزات-مردم-ایران،-کلن,103,ORG,/op/شورای-حمایت-از-مبارزات-مردم-ایران،-کلن,logos/temporary.png,شورای حمایت از مبارزات مردم ایران، کلن,"Iranian People's Struggle Support Council, Cologne",,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
شهجا-(defunct),145,سازمان سیاسی - بسته شده,/op/شهجا-(defunct),logos/temporary.png,شهجا (defunct),,,,,https://www.shahjaa.com/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
تلویزیون-ایران-فردا,147,ORG,/op/تلویزیون-ایران-فردا,logos/temporary.png,تلویزیون ایران فردا,,,,,http://iranefardalive.com/english/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بنیاد-عبدالرحمن-برومند,136,ORG,/op/بنیاد-عبدالرحمن-برومند,logos/temporary.png,بنیاد عبدالرحمن برومند,,,,,https://www.iranrights.org/fa/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
متحد-برای-مهسا,25,ORG,/op/متحد-برای-مهسا,logos/25.png,متحد برای مهسا,United For Mahsa,,UK,,https://www.instagram.com/united4mahsa/?hl=en,info@united4mahsa.com,,"While there isn't a single, centralized organization specifically named 'United for Mahsa,' the phrase encapsulates the global movement ignited by the tragic death of Mahsa Amini in Iran on September 16, 2022. This movement calls for justice for Mahsa, an end to the mandatory hijab law, and broader human rights and political reforms in Iran.",A non-partisan social activist group bringing human rights issues in Iran to the fore in sociopolitical discourses.,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زن،-زندگی،-آزادی,19,ORG,/op/زن،-زندگی،-آزادی,logos/19.png,زن، زندگی، آزادی,"Woman, Life, Freedom",,,,https://www.womanlifefreedom.today/,,,"Highlighting the 'Woman Life Freedom' movement: The website serves as a central hub for information, news, and resources related to the ongoing protests in Iran, trigDEed by the tragic death of Mahsa Amini in September 2022.Centering Women's voices: It emphasizes the crucial role of women in leading the protests and demanding fundamental rights and freedoms.Showcasing Courage and Resilience: The platform shares stories, videos, and artwork that highlight the courage and resilience of Iranian women and their allies in the face of brutal repression.Mobilizing Global Support: The website aims to raise awareness about the situation in Iran and mobilize international solidarity with the Iranian people's fight for freedom.",equality and women's empowerment,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
همبستگی-برای-آزادی-و-برابری-در-ایران,221,P_ORG,/op/همبستگی-برای-آزادی-و-برابری-در-ایران,logos/temporary.png,همبستگی برای آزادی و برابری در ایران,,,,,https://hambastegi.de/,info@hambastegi.info,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
دوستان-فارس,46,ORG,/op/دوستان-فارس,logos/46.png,دوستان فارس,Amici della Persia,,IT,,https://www.facebook.com/groups/48339194929?locale=it_IT,,,Amici della Persia is an Italian-language group that welcomes all lovers of Persian civilization.,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
پلاتفورم-اتحاد-دمکراتیک-آذربایجان---بیرلیک,,,/op/پلاتفورم-اتحاد-دمکراتیک-آذربایجان---بیرلیک,,پلاتفورم اتحاد دمکراتیک آذربایجان - بیرلیک,,,,,https://www.birlik.se,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
پلاتفورم-اتحاد-دمکراتیک-آذربایجان-–-بیرلیک,206,P_ORG,/op/پلاتفورم-اتحاد-دمکراتیک-آذربایجان-–-بیرلیک,logos/temporary.png,پلاتفورم اتحاد دمکراتیک آذربایجان – بیرلیک,,,,,https://www.birlik.se,info@birlik.se,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-ژیانه-وه-ی-کردستان(ژک),119,ORG,/op/گروه-ژیانه-وه-ی-کردستان(ژک),logos/temporary.png,گروه ژیانه وه ی کردستان(ژک),,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
فدراسیون-بین-المللی-پناهندگان-ایرانی،-کانادا,128,ORG,/op/فدراسیون-بین-المللی-پناهندگان-ایرانی،-کانادا,logos/temporary.png,فدراسیون بین المللی پناهندگان ایرانی، کانادا,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Small-Media-Foundation,190,ORG,/op/Small-Media-Foundation,logos/temporary.png,,Small Media Foundation,,,,Small Media Foundation,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جوانان-محلات-مشهد,79,ORG,/op/جوانان-محلات-مشهد,logos/79.png,جوانان محلات مشهد,جوانان محلات مشهد,,,,None,,,,The youth of Mashhad neighborhoods will continue their activities until the overthrow of the Islamic Republic regime. 'Jowanan Mahalat Mashhad' has no thought other than the freedom of Iran and does not support any particular political trend,,,,,,,,,,https://x.com/Javanan_mashh,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-سراسری-حق-زن--سوئد,135,ORG,/op/سازمان-سراسری-حق-زن--سوئد,logos/temporary.png,سازمان سراسری حق زن- سوئد,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جنبش-زنان-بلوچ,12,ORG,/op/جنبش-زنان-بلوچ,logos/12.png,جنبش زنان بلوچ,Balóch Women Movement,,,,Balóch Women movement (@women_baloch) / Twitter,,,"The Baloch Women's Movement is a grassroots movement advocating for the rights and empowerment of Baloch women in Balochistan, a region divided between Pakistan, Iran, and Afghanistan.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
مرکز-حقوق-بشر-در-ایران,21,H_ORG,/op/مرکز-حقوق-بشر-در-ایران,logos/21.png,مرکز حقوق بشر در ایران,The Center for Human Rights in Iran,,US,"P.O. Box 1112New York, NY 10159",https://iranhumanrights.org/     ,,,"The Center for Human Rights in Iran (CHRI) is an independent, non-partisan, and non-profit organization dedicated to promoting and protecting human rights in Iran.","published hundreds of articles on human rights issues and press releases on urgent developments, all in both English and Persian, directly distributed to over 4,000 government, UN, NGO and media leaders worldwide.","Hadi Ghaemi, an Iranian-American physicist and human rights advocate, founded CHRI in 2008 along with other activists.",,,,,,,,,,https://www.instagram.com/centerforhumanrights/,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کانون-سیمرغ-کبک,93,ORG,/op/کانون-سیمرغ-کبک,logos/93.png,کانون سیمرغ کبک,The Quebec Simorgh Center,,CA,,https://www.facebook.com/Simorghquebec/,Simorghquebec@gmail.com,,"The Quebec Simorgh Center, as a cultural and social institution, plays an important role in preserving and promoting the culture and identity of Iranians living in Quebec. By holding various cultural, artistic, social and educational events, this center tries to strengthen the solidarity among the resident Iranians and also to create a bridge between the Iranian culture and the Quebec society.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Feminista-Berlin,160,ORG,/op/Feminista-Berlin,logos/temporary.png,,Feminista Berlin,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زن-زندگی-آزادی-ماربورگ,55,ORG,/op/زن-زندگی-آزادی-ماربورگ,logos/55.png,زن زندگی آزادی ماربورگ,"Frau, Leben, Freiheit - Marburg",,DE,,,,,"Organize protests or demonstrations: Groups focused on women's rights and freedom often raise awareness through public events.Host educational workshops or seminars: These events might cover topics like women's health, self-defense, legal rights, or financial literacy.Offer support groups or counseling: This could be a safe space for women to share their experiences and receive emotional support.Engage in advocacy work: This might involve lobbying local politicians, writing letters to newspapers, or raising awareness through social media.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جنبش-زنان-پنجره-امید-از-افغانستان,149,ORG,/op/جنبش-زنان-پنجره-امید-از-افغانستان,logos/temporary.png,جنبش زنان پنجره امید از افغانستان,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
مجامع-اسلامی-ایرانیان!,244,P_ORG,/op/مجامع-اسلامی-ایرانیان!,logos/temporary.png,مجامع اسلامی ایرانیان!,,,,,https://archive.is/LqKXO,,,,,,https://archive.is/obtEc,https://archive.is/ZTxjT,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
تپندگان,175,ORG,/op/تپندگان,logos/temporary.png,تپندگان,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Impact-Iran,20,ORG,/op/Impact-Iran,logos/20.png,,Impact Iran,,,,https://impactiran.org,info@impactiran.org,,Impact Iran (https://impactiran.org/) is a coalition of 19 non-governmental organizations committed to advocating for human rights and driving positive change in Iran.,"Impact Iran represents a coalition of 17 non-governmental organizations that draw attention to the situation of human rights in Iran, and encourage the Iranian government to address concerns expressed by the international community and international human rights bodies.",Formation (2014): Impact Iran was formed in 2014 as a coalition of 19 Iranian human rights NGOs. This collective approach was driven by the need to amplify the voices of Iranian civil society on the global stage and advocate more effectively for human rights and accountability within Iran.,,,,,,,,,,https://www.instagram.com/impactiran/,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-جوانان-کردستان-ایران,255,P_ORG,/op/سازمان-جوانان-کردستان-ایران,logos/temporary.png,سازمان جوانان کردستان ایران,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ما-عصیانگریم,170,ORG,/op/ما-عصیانگریم,logos/temporary.png,ما عصیانگریم,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بلک-ریوارد,176,ORG,/op/بلک-ریوارد,logos/temporary.png,بلک ریوارد,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
OS-Plan-Coalition,171,ORG,/op/OS-Plan-Coalition,logos/temporary.png,,OS Plan Coalition,,,,https://github.com/oalee/os-plan-coalition,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
